title,price,author,reviews,type
Storytelling with Data: A Data Visualization Guide for Business Professionals,24.99,by Cole Nussbaumer Knaflic,"4,504",Paperback
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",39.65,by Nick Singh and Kevin Huo,896,Paperback
"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python",111.0,"by Galit Shmueli , Peter C. Bruce, et al.",70,Kindle Edition
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",50.99,by Steven L. Brunton and J. Nathan Kutz,242,Kindle Edition
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",30.93,by Thomas Nield,202,Paperback
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",24.49,by Alex J. Gutman and Jordan Goldmeier,293,Paperback
Data Science (The MIT Press Essential Knowledge series),9.69,Part of: The MIT Press Essential Knowledge (94 books),529,Paperback
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,46.79,"Delivery Tue, Nov 21
Or fastest delivery Wed, Nov 1",255,Paperback
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",39.65,by Nick Singh and Kevin Huo,896,Paperback
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,35.93,by Foster Provost and Tom Fawcett,"1,268",Paperback
Football Analytics with Python & R: Learning Data Science Through the Lens of Sports,51.99,by Eric Eager and Richard Erickson,7,Paperback
"A Brief History of Intelligence: Evolution, AI, and the Five Breakthroughs That Made Our Brains",31.5,by Max Bennett,2,Hardcover
Bioinformatics: A Practical Handbook of Next Generation Sequencing and Its Applications,66.15,by Lloyd Low and Martti Tammi,13,Hardcover
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,43.99,by Joe Reis and Matt Housley,349,Paperback
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,43.99,"by Peter Bruce, Andrew Bruce, et al.",759,Paperback
Python Data Science Handbook: Essential Tools for Working with Data,50.99,by Jake VanderPlas,24,Paperback
Fundamentals of Data Science: Take the first Step to Become a Data Scientist (Step-by-Step Tutorial For Beginners),7.99,by Samuel Burns,8,Paperback
"Statistics for Data Scientists: An Introduction to Probability, Statistics, and Data Analysis (Undergraduate Topics in Computer Science)",15.0,Part of: Undergraduate Topics in Computer Science (103 books),6,Kindle Edition
"Mastering MongoDB 6.x: Expert techniques to run high-volume and fault-tolerant database solutions using MongoDB 6.x, 3rd Edition",51.99,by Alex Giamas,10,Paperback
"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python",101.74,"by Galit Shmueli , Peter C. Bruce, et al.",70,Hardcover
"Python for MATLAB Development: Extend MATLAB with 300,000+ Modules from the Python Package Index",29.39,by Albert Danial,6,Paperback
Data Science from Scratch: First Principles with Python,58.44,by Joel Grus,686,Paperback
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",51.62,by Steven L. Brunton and J. Nathan Kutz,68,Hardcover
How Data Happened: A History from the Age of Reason to the Age of Algorithms,21.99,by Chris Wiggins and Matthew L. Jones,35,Hardcover
Build a Career in Data Science,0.0,"by Emily Robinson, Jacqueline Nolis, et al.",99,Audible Audiobook
Data Juice: 101 Stories of How Organizations Are Squeezing Value from Available Data Assets,28.95,by Douglas B. Laney,40,Paperback
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data ... Present Data Effectively (All Things Data)",30.39,Collects books from: All Things Data,63,Paperback
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",24.68,by Chris Fregly and Antje Barth,200,Paperback
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,54.99,by Nathan George,25,Paperback
Streamlit for Data Science: Create interactive data apps in Python,44.99,by Tyler Richards and Adrien Treuille,17,Paperback
Python for Data Science: A Hands-On Introduction,25.49,by Yuli Vasiliev,28,Paperback
The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,24.99,"by Carl Shan , William Chen, et al.",62,Paperback
Python for Data Science For Dummies (For Dummies (Computer/Tech)),19.89,by John Paul Mueller and Luca Massaron,214,Paperback
Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,40.49,by Aditya Bhargava,"1,354",Paperback
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, and Present Data Effectively",0.0,Collects books from: All Things Data,63,Audible Audiobook
Data Science for Beginners: An Introduction to the Fundamentals of Data Analysis and Machine Learning,0.0,by Brian Murray,30,Kindle
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",57.99,"by Hadley Wickham, Mine Çetinkaya-Rundel , et al.",22,Paperback
"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",43.99,by Wes McKinney,201,Paperback
Dive Into Data Science: Use Python To Tackle Your Toughest Business Challenges,30.59,by Bradford Tuckfield,4,Paperback
Data Science For Dummies (For Dummies (Computer/Tech)),25.49,by Lillian Pierson,68,Paperback
The Self-Taught Computer Scientist: The Beginner's Guide to Data Structures & Algorithms,19.49,by Cory Althoff,121,Paperback
Rewired: The McKinsey Guide to Outcompeting in the Age of Digital and AI,32.34,"by Eric Lamarre, Kate Smaje, et al.",158,Hardcover
Storytelling with Data: A Data Visualization Guide for Business Professionals,24.99,by Cole Nussbaumer Knaflic,"4,504",Paperback
